id,type,note
1,final,59.29
1,maths,75.34
1,english,81.17
2,final,60.75
2,maths,78.96
2,english,81.99
3,final,65.88
3,maths,78.06
3,english,80.16
4,final,64.5
4,maths,77.83
4,english,76.74
5,final,59.99
5,maths,83.26
5,english,80.93
6,final,63.6
6,maths,83.26
6,english,77.98
7,final,69.01
7,maths,81.9
7,english,80.24
8,final,67.21
8,maths,86.83
8,english,80.75
9,final,69.93
9,maths,84.28
9,english,79.05
10,final,60.1
10,maths,77.89
10,english,72.77
11,final,59.19
11,maths,77.91
11,english,74.23
12,final,64.19
12,maths,75.72
12,english,74.48
13,final,68.89
13,maths,88.06
13,english,82.16
14,final,75.48
14,maths,84
14,english,83.16
15,final,70.95
15,maths,85.58
15,english,83.15
16,final,64.24
16,maths,83.5
16,english,81.94
17,final,63.32
17,maths,84.36
17,english,78.67
18,final,65.31
18,maths,79.1
18,english,82.73
19,final,60.88
19,maths,78.9
19,english,80.34
20,final,62.38
20,maths,76.31
20,english,81.53
21,final,60.83
21,maths,80.42
21,english,79.98
22,final,67.62
22,maths,81.1
22,english,83.96
23,final,70.03
23,maths,84.25
23,english,79.44
24,final,67.72
24,maths,79.44
24,english,82.07
25,final,72.76
25,maths,86.04
25,english,82.4
26,final,74.76
26,maths,87.03
26,english,87
27,final,74.33
27,maths,84.65
27,english,87.8
28,final,64.87
28,maths,77.41
28,english,78.92
29,final,66.04
29,maths,81.65
29,english,81.78
30,final,64.73
30,maths,75.84
30,english,79.03
31,final,60.86
31,maths,70.64
31,english,80.88
32,final,62.11
32,maths,71.72
32,english,76.82
33,final,65.91
33,maths,76.24
33,english,76.7
34,final,68.93
34,maths,86.21
34,english,83.18
35,final,71.63
35,maths,83.73
35,english,82.51
36,final,68.16
36,maths,84.52
36,english,80.64
37,final,67.39
37,maths,80.82
37,english,80.51
38,final,62.62
38,maths,76.91
38,english,78.17
39,final,61.97
39,maths,79.58
39,english,78.33
40,final,58.88
40,maths,72.49
40,english,76.25
41,final,62.72
41,maths,78.31
41,english,74.58
42,final,63.45
42,maths,73.51
42,english,76.17
43,final,62.28
43,maths,77.46
43,english,80.04
44,final,67.27
44,maths,77.79
44,english,78.98
45,final,64.04
45,maths,83.26
45,english,75.18
46,final,65.24
46,maths,80.48
46,english,79.08
47,final,61.27
47,maths,81.74
47,english,81.21
48,final,67.51
48,maths,77.36
48,english,78.09
49,final,56.02
49,maths,74.08
49,english,73.34
50,final,59.69
50,maths,76.24
50,english,73.21
51,final,62.68
51,maths,70.61
51,english,72.48
52,final,54.8
52,maths,72.41
52,english,78.33
53,final,55.89
53,maths,77.09
53,english,75.79
54,final,60.36
54,maths,78.81
54,english,77.19
55,final,60.47
55,maths,76.84
55,english,76.34
56,final,63.31
56,maths,80.6
56,english,76.26
57,final,60.2
57,maths,80.41
57,english,76.67
58,final,64.03
58,maths,86.18
58,english,76.56
59,final,67.61
59,maths,83.56
59,english,82.45
60,final,66.87
60,maths,84.23
60,english,79.77
