id,y,education,experience,sexe,travail
1,3.75,12,6,Femme,Type 3
2,12,16,14,Femme,Type 1
3,15.73,16,4,Homme,Type 1
4,5,12,0,Femme,Type 2
5,9,12,20,Homme,Type 2
6,6.88,17,15,Femme,Type 1
7,9.1,13,16,Homme,Type 2
8,3.35,16,3,Homme,Type 2
9,10,16,10,Femme,Type 1
10,4.59,12,36,Femme,Type 2
11,7.61,12,20,Homme,Type 3
12,18.5,14,13,Femme,Type 3
13,20.4,17,3,Homme,Type 1
14,8.49,12,24,Femme,Type 2
15,12.5,15,6,Femme,Type 2
16,5.75,9,34,Femme,Type 1
17,4,12,12,Homme,Type 2
18,12.47,13,10,Homme,Type 3
19,5.55,11,45,Femme,Type 2
20,6.67,16,10,Femme,Type 1
21,4.75,12,2,Femme,Type 2
22,7,12,7,Homme,Type 3
23,12.2,14,10,Homme,Type 3
24,15,12,42,Homme,Type 1
25,9.56,12,23,Homme,Type 3
26,7.65,12,20,Homme,Type 2
27,5.8,13,5,Homme,Type 2
28,5.8,16,14,Homme,Type 1
29,3.6,12,6,Femme,Type 2
30,7.5,12,3,Homme,Type 3
31,8.75,12,30,Homme,Type 1
32,10.43,14,15,Femme,Type 2
33,3.75,12,41,Femme,Type 2
34,8.43,12,12,Homme,Type 2
35,4.55,12,4,Femme,Type 1
36,6.25,9,30,Homme,Type 3
37,4.5,12,16,Homme,Type 3
38,4.3,13,8,Homme,Type 3
39,8,12,15,Femme,Type 2
40,7,7,42,Homme,Type 3
41,4.5,12,3,Femme,Type 1
42,4.75,12,10,Femme,Type 2
43,4.5,12,7,Femme,Type 1
44,3.4,8,49,Femme,Type 2
45,9.83,12,23,Homme,Type 3
46,6.25,16,7,Femme,Type 1
47,23.25,17,25,Femme,Type 1
48,9,16,27,Femme,Type 2
49,19.38,16,11,Femme,Type 1
50,14,16,16,Femme,Type 1
51,6.5,12,8,Homme,Type 3
52,6,12,19,Femme,Type 2
53,6.25,16,7,Femme,Type 1
54,6.5,8,27,Homme,Type 3
55,9.5,12,25,Femme,Type 2
56,4.25,12,29,Femme,Type 2
57,14.53,16,18,Homme,Type 1
58,8.85,14,19,Femme,Type 2
59,9.17,12,44,Femme,Type 2
60,11,8,42,Homme,Type 3
61,3.75,16,13,Femme,Type 3
62,3.35,14,0,Homme,Type 2
63,3.35,12,8,Femme,Type 3
64,6.75,12,12,Homme,Type 3
65,10,16,7,Femme,Type 2
66,8.93,8,47,Homme,Type 2
67,11.11,12,28,Homme,Type 2
68,6.5,11,39,Homme,Type 2
69,14,5,44,Homme,Type 3
70,6.25,13,30,Femme,Type 2
71,4.7,8,19,Homme,Type 3
72,22.83,18,37,Femme,Type 1
73,13.45,12,16,Homme,Type 3
74,5,12,39,Femme,Type 2
75,10,10,12,Homme,Type 3
76,8.9,10,27,Homme,Type 3
77,7,11,12,Femme,Type 2
78,15,12,39,Homme,Type 1
79,3.5,12,35,Homme,Type 2
80,12.57,12,12,Homme,Type 3
81,8,12,14,Femme,Type 2
82,7,18,33,Homme,Type 1
83,26,14,21,Homme,Type 3
84,11.43,12,3,Homme,Type 3
85,5.56,14,5,Homme,Type 2
86,12,18,18,Femme,Type 1
87,5,12,4,Homme,Type 2
88,9.15,12,7,Homme,Type 3
