x;y
1;0
0.997986676;0.06342392
0.991954813;0.126592454
0.981928697;0.189251244
0.967948701;0.251147987
0.950071118;0.312033446
0.928367933;0.371662456
0.902926538;0.429794912
0.873849377;0.486196736
0.841253533;0.540640817
0.805270258;0.592907929
0.766044443;0.64278761
0.723734038;0.690079011
0.678509412;0.734591709
0.630552667;0.776146464
0.58005691;0.814575952
0.527225468;0.84972543
0.472271075;0.881453363
0.415415013;0.909631995
0.356886222;0.93414786
0.296920375;0.954902241
0.235758936;0.971811568
0.173648178;0.984807753
0.1108382;0.993838464
0.047581916;0.998867339
-0.015865964;0.999874128
-0.079249957;0.996854776
-0.142314838;0.989821442
-0.204806668;0.978802446
-0.266473814;0.963842159
-0.327067963;0.945000819
-0.386345126;0.922354294
-0.444066613;0.895993774
-0.5;0.866025404
-0.553920064;0.832569855
-0.605609687;0.795761841
-0.654860734;0.755749574
-0.701474888;0.712694171
-0.74526445;0.666769001
-0.786053095;0.618158986
-0.823676581;0.567059864
-0.857983413;0.513677392
-0.888835449;0.458226522
-0.916108457;0.400930535
-0.939692621;0.342020143
-0.959492974;0.281732557
-0.975429787;0.220310533
-0.987438889;0.158001396
-0.995471923;0.095056043
-0.999496542;0.031727933
-0.999496542;-0.031727933
-0.995471923;-0.095056043
-0.987438889;-0.158001396
-0.975429787;-0.220310533
-0.959492974;-0.281732557
-0.939692621;-0.342020143
-0.916108457;-0.400930535
-0.888835449;-0.458226522
-0.857983413;-0.513677392
-0.823676581;-0.567059864
-0.786053095;-0.618158986
-0.74526445;-0.666769001
-0.701474888;-0.712694171
-0.654860734;-0.755749574
-0.605609687;-0.795761841
-0.553920064;-0.832569855
-0.5;-0.866025404
-0.444066613;-0.895993774
-0.386345126;-0.922354294
-0.327067963;-0.945000819
-0.266473814;-0.963842159
-0.204806668;-0.978802446
-0.142314838;-0.989821442
-0.079249957;-0.996854776
-0.015865964;-0.999874128
0.047581916;-0.998867339
0.1108382;-0.993838464
0.173648178;-0.984807753
0.235758936;-0.971811568
0.296920375;-0.954902241
0.356886222;-0.93414786
0.415415013;-0.909631995
0.472271075;-0.881453363
0.527225468;-0.84972543
0.58005691;-0.814575952
0.630552667;-0.776146464
0.678509412;-0.734591709
0.723734038;-0.690079011
0.766044443;-0.64278761
0.805270258;-0.592907929
0.841253533;-0.540640817
0.873849377;-0.486196736
0.902926538;-0.429794912
0.928367933;-0.371662456
0.950071118;-0.312033446
0.967948701;-0.251147987
0.981928697;-0.189251244
0.991954813;-0.126592454
0.997986676;-0.06342392
1;-2.45E-16
