Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X56;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100;X101;X102;X103;X104;X105;X106;X107;X108;X109;X110;X111;X112;X113;X114;X115;X116;X117;X118;X119;X120;X121;X122;X123;X124;X125;X126;X127;X128;X129;X130;X131;X132;X133;X134;X135;X136;X137;X138;X139;X140;X141;X142;X143;X144;X145;X146;X147;X148;X149;X156;X151;X152;X153;X154;X155;X156;X157;X158;X159;X160;X161;X162;X163;X164;X165;X166;X167;X168;X169;X170;X171;X172;X173;X174;X175;X176;X177;X178;X179;X180;X181;X182;X183;X184;X185;X186;X187;X188;X189;X190;X191;X192;X193;X194;X195;X196;X197;X198;X199;X200;X201;X202;X203;X204;X205;X206;X207;X208;X209;X210;X211;X212;X213;X214;X215;X216;X217;X218;X219;X220;X221;X222;X223;X224;X225;X226;X227;X228;X229;X230;X231;X232;X233;X234;X235;X236;X237;X238;X239;X240;X241;X242;X243;X244;X245;X246;X247;X248;X249;X256;X251;X252;X253;X254;X255;X256
9;0;0;0;0;0;6.604;55.753;145.796;175.768;241.808;163.83;27.686;0;0;0;0;0;0;0;0;32.004;201.676;254;254;252.857;243.205;254;245.237;66.548;0;0;0;0;0;0;27.051;227.838;254;219.329;104.394;38.989;27.178;47.752;232.918;223.012;22.606;0;0;0;0;9.906;229.87;254;128.27;9.144;0;0;0;0;77.47;254;161.417;0;0;0;0;128.524;254;158.496;0;0;0;0;0;75.946;168.402;254;228.727;0.254;0;0;2.413;208.915;254;39.751;0;0;0;0;26.416;250.952;254;254;179.451;3.048;0;0;0.889;232.918;240.919;6.223;0;0;0;21.463;144.78;254;254;165.354;14.097;0;0;0;0;172.212;227.838;20.828;0;70.485;136.398;232.791;254;254;215.392;15.113;0;0;0;0;0;80.264;248.285;254;254;254;254;241.935;254;254;93.726;0;0;0;0;0;0;0;54.991;184.277;214.884;214.884;126.111;96.901;254;239.014;26.035;0;0;0;0;0;0;0;0;0;0;0;0;146.685;254;182.372;0;0;0;0;0;0;0;0;0;0;0;0;1.143;216.281;254;123.825;0;0;0;0;0;0;0;0;0;0;0;0;21.209;248.793;254;47.117;0;0;0;0;0;0;0;0;0;0;0;0;50.8;253.746;233.807;8.636;0;0;0;0;0;0;0;0;0;0;0;0;73.152;254;219.964;0;0;0;0;0;0;0;0;0;0;0;0;0;11.684;181.61;205.994;3.429;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.559;3.429;0;0;0;0;0;0;0;0;0;0;0;0;0;80.772;227.203;79.883;0;0;0;0;0;0;0;0;0;0;0;0;67.691;249.301;204.343;1.778;0;0;0;0;0;0;0;0;0;0;0;15.875;203.835;248.92;82.423;0;0;0;0;0;0;0;0;0;0;0;0;133.35;254;139.192;0;0;0;0;0;0;0;0;0;0;0;0;53.086;250.19;194.564;9.906;0;0;0;0;0;0;50.546;165.989;218.186;218.186;79.629;0.254;218.821;254;72.263;0;0;0;0;0;23.241;109.728;229.616;254;254;254;215.519;41.91;249.555;210.693;0;0;0;0;0;61.976;220.726;254;233.553;84.328;2.921;181.991;238.506;147.447;254;114.046;0;0;0;0;45.339;237.49;250.19;160.528;3.683;0;76.327;254;141.859;233.045;249.936;37.973;0;0;0;0;152.146;254;133.604;0;0;90.043;238.252;227.33;22.987;176.784;249.174;68.453;0;0;0;6.604;231.14;254;105.664;66.675;162.56;249.936;238.76;49.149;0;57.023;235.458;251.46;190.246;168.148;168.148;168.656;253.746;254;250.19;253.365;250.952;158.75;45.466;0;0;0;45.72;210.947;250.317;254;254;254;247.65;225.298;225.298;165.354;60.706;0;0;0;0;0;0;0;42.799;50.038;50.038;50.038;39.624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;51.689;215.9;254;254;254;254;235.331;136.525;9.525;0;0;0;0;0;0;56.769;253.746;254;254;254;254;254;254;254;249.047;117.348;0.127;0;0;0;0;155.956;254;234.823;107.95;37.465;0;19.05;84.709;117.856;244.983;254;69.723;0;0;0;0;52.578;225.679;60.452;0;0;0;0;0;0;170.688;254;196.088;0.127;0;0;0;0;0;0;0;0;0;0;0;25.019;245.11;254;209.55;0.127;0;0;0;0;0;0;0;0;0;0;53.467;231.267;254;254;110.363;0;0;0;0;0;0;0;0;0;48.133;146.812;245.618;254;254;200.025;8.509;0;0;0;0;0;0;6.096;104.648;203.454;254;254;254;247.904;115.189;0;0;0;0;0;0;0;0;74.93;254;254;254;254;254;227.584;36.195;0;0;0;0;0;0;0;0;0;83.185;169.291;120.65;84.709;105.156;203.962;247.65;114.173;0;0;0;0;0;0;0;0;0;0;0;0;0;20.574;196.596;254;93.218;0;0;0;0;0;0;0;0;0;0;0;0;0;90.805;254;219.583;0;0;0;0;49.403;7.112;0;0;0;0;0;0;56.388;246.761;254;225.933;7.239;0;0;7.239;225.933;197.485;84.709;84.709;84.709;105.918;176.403;254;254;254;254;190.119;0;0;0;0;199.009;254;254;254;254;254;254;254;254;232.41;133.731;6.858;0;0;0;0;7.493;134.493;205.105;254;254;218.059;169.291;147.574;77.089;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74.041;85.09;0;0;0;0;0;0;0;0;0;0;0;0;14.859;183.769;253.873;225.425;0;0;0;0;0;0;0;0;0;0;0;52.197;228.981;254;203.454;159.639;0;0;0;0;0;0;0;0;0;0;52.324;236.474;251.587;146.05;2.54;0;0;0;0;0;3.937;71.501;89.535;89.535;7.747;44.323;236.601;249.555;99.187;0;0;0;0;0;6.858;51.816;188.976;254;254;254;158.877;169.926;254;133.858;0;0;0;0;0;38.354;206.756;254;254;212.471;134.493;240.03;253.365;253.365;238.506;23.622;0;0;0;0;0;176.276;254;217.297;55.753;9.398;41.656;249.301;187.071;252.603;225.425;0;0;0;0;0;0;212.979;254;43.942;0;0;142.494;254;81.661;250.19;244.094;55.118;0.762;0;0;0;0;182.88;160.274;0.508;1.905;85.979;252.222;211.836;5.842;133.731;254;254;190.373;131.826;149.733;99.695;99.695;99.695;99.695;150.368;207.899;254;183.261;32.893;0;2.667;151.003;246.634;254;254;254;254;254;254;254;254;240.792;149.479;11.303;0;0;0;0;35.179;69.723;116.713;49.403;124.333;74.422;124.333;103.886;44.704;27.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;18.034;113.538;228.854;100.33;0;0;0;0;0;0;0;0;0;0;0;18.542;202.819;254;228.346;77.724;0;0;0;0;0;0;0;0;0;0;65.913;203.2;254;209.931;27.94;0;0;0;0;0;0;0;0;0;0;77.978;242.951;254;210.566;22.225;0;0;0;0;0;0;0;0;0;0;79.629;246.253;253.873;143.383;20.955;0;0;0;0;0;0;0;0;0;0;83.82;252.222;254;127.889;0;0;0;0;0;0;0;0;0;0;0;32.893;223.901;254;142.113;1.778;0;0;0;0;0;0;0;0;0;0;0;161.417;254;238.633;16.383;0;0;0;0;0;0;0;0;0;0;0;48.26;245.491;251.841;82.677;0;0;0;0;0;0;8.89;81.788;197.104;209.169;205.486;46.609;145.796;254;196.723;0;0;0;0;0;18.669;105.156;211.582;254;254;254;254;231.267;236.347;254;137.922;0;0;0;0;91.44;238.506;254;254;229.362;114.681;102.743;254;215.265;242.443;254;42.418;0;0;0;86.868;253.873;254;217.424;59.69;0.635;17.907;199.263;254;93.091;248.285;254;56.896;0;0;0;209.042;254;167.259;9.398;0;19.177;202.946;254;148.463;3.81;207.137;254;222.758;132.842;96.012;43.053;251.968;254;145.034;52.832;136.525;232.791;254;142.621;4.699;0;58.801;240.792;254;254;254;254;254;254;254;254;254;232.41;77.851;3.048;0;0;0;38.481;113.284;166.624;241.427;241.427;241.427;241.427;241.427;163.83;80.137;16.891;0;0;0;0
0;0;0;0;0;0;0;151.765;254;133.858;0;0;0;0;0;0;0;0;0;0;0;0;25.273;227.33;254;235.712;91.186;21.463;0;0;0;0;0;0;0;0;0;8.001;190.246;254;250.825;97.536;245.364;244.602;118.237;4.445;0;0;0;0;0;0;0;135.89;254;254;183.642;5.969;78.105;254;254;162.052;13.335;0;0;0;0;0;73.279;248.92;254;223.774;25.527;0;1.651;96.774;246.507;254;90.424;0;0;0;0;1.397;167.767;254;244.348;61.976;0;0;0;0;125.095;254;242.062;30.734;0;0;0;59.69;252.984;254;120.015;0;0;0;0;0;44.323;229.87;254;153.162;0;0;0;180.848;254;237.236;35.941;0;0;0;0;0;1.397;218.567;254;111.125;0;0;7.112;237.109;254;127;0;0;0;0;0;0;0;200.533;254;170.688;0;0;112.903;253.492;251.206;50.292;0;0;0;0;0;0;0;141.097;254;128.651;0;0;178.562;254;252.476;17.653;0;0;0;0;0;0;0;159.131;254;185.42;0;0;145.796;254;229.997;14.224;0;0;0;0;0;0;16.256;184.912;254;148.717;0;0;67.945;242.951;254;162.687;31.242;0;0;0;33.02;71.628;210.439;254;254;128.016;0;0;0;126.238;250.952;254;237.236;221.488;221.488;221.488;234.95;254;254;254;226.314;33.528;0;0;0;0;87.63;214.122;254;254;254;254;254;254;254;203.454;11.938;0;0;0;0;0;0;12.319;128.143;155.448;254;252.476;150.749;144.653;45.593;23.876;0;0;0
0;0;0;0;0;0;27.305;225.425;161.036;0;0;0;0;0;0;0;0;0;0;0;0;0;130.048;254;232.918;169.291;73.533;5.588;0;0;0;0;0;0;0;0;0;58.928;239.903;254;254;254;254;164.719;12.954;0;0;0;0;0;0;0;26.797;224.536;254;239.776;55.372;165.862;254;254;195.58;23.368;0;0;0;0;0;10.414;205.867;254;246.761;73.152;0;0;134.874;254;254;84.582;0;0;0;0;0;68.453;254;254;188.595;0;0;0;18.415;200.66;254;203.073;1.143;0;0;0;0;24.13;254;254;57.404;0;0;0;0;137.033;254;254;32.258;0;0;0;0;80.137;253.873;173.863;6.35;0;0;0;0;142.748;254;254;76.708;0;0;0;0;48.133;254;136.779;0;0;0;0;0;161.163;254;254;108.458;0;0;0;0;79.121;254;80.899;0;0;0;0;0;141.859;254;254;52.578;0;0;0;0;72.263;254;125.222;0;0;0;0;9.779;213.106;254;244.983;18.161;0;0;0;0;78.105;254;169.672;0;0;0;0;50.038;253.873;254;181.102;1.016;0;0;0;0;96.393;254;254;90.805;28.194;28.194;92.964;227.076;254;254;88.519;0;0;0;0;0;44.323;236.601;254;254;254;254;254;254;254;180.34;5.969;0;0;0;0;0;0;36.83;152.527;254;254;254;254;254;214.249;19.558;0;0;0;0;0;0;0;0;4.318;102.87;219.583;254;250.571;141.097;43.053;0;0;0;0;0
0;0;0;0;0;0;10.922;39.624;33.528;248.412;165.1;14.351;0;0;0;0;0;0;0;0;0;0;140.335;254;125.095;169.037;254;208.153;3.175;0;0;0;0;0;0;0;0;23.114;247.904;254;122.301;11.43;223.012;254;108.204;0;0;0;0;0;0;0;0;147.574;254;254;115.57;0;83.566;254;234.188;24.892;0;0;0;0;0;0;35.306;248.539;254;238.125;40.132;0;0.508;225.679;254;161.417;0;0;0;0;0;1.524;147.701;254;254;102.616;0;0;0;154.178;254;231.775;1.651;0;0;0;0;15.494;241.808;254;235.839;35.179;0;0;0;82.169;254;254;51.435;0;0;0;0;100.203;254;254;185.42;0;0;0;0;14.859;249.428;254;123.444;0;0;0;0;152.019;254;254;71.628;0;0;0;0;2.286;206.756;254;195.453;0;0;0;0;158.877;254;254;53.594;0;0;0;0;0.635;226.568;254;188.595;0;0;0;0;210.693;254;253.365;30.607;0;0;0;0;54.483;247.015;254;136.779;0;0;0;0;149.987;254;254;68.072;0;0;0;0;110.617;254;254;130.048;0;0;0;0;77.978;254;254;95.123;0;0;0;5.588;196.342;254;254;78.105;0;0;0;0;11.811;191.897;254;251.206;208.407;133.731;133.731;216.662;254;254;205.359;7.366;0;0;0;0;0;33.401;200.279;254;254;254;254;254;254;239.649;45.847;0;0;0;0;0;0;0;12.573;126.619;237.744;254;254;254;230.759;87.884;0;0;0;0
6;0;0;0;0;0;0;0;30.353;182.626;214.757;0.889;0;0;0;0;0;0;0;0;0;0;0;20.066;218.948;254;238.76;13.208;0;0;0;0;0;0;0;0;0;0;34.925;195.326;254;247.396;70.358;0;0;0;0;0;0;0;0;0;0;32.766;227.33;254;230.886;38.735;0;0;0;0;0;0;0;0;0;0;0;207.137;254;241.173;55.753;0;0;0;0;0;0;0;0;0;0;0;54.864;251.841;254;93.98;0;0;0;0;0;0;0;0;0;0;0;2.032;194.945;254;186.563;8.255;0;0;0;0;0;0;0;0;0;0;0;51.308;252.984;254;61.849;0;0;0;4.445;43.18;43.18;26.797;0;0;0;0;0;173.99;254;214.884;6.604;0;13.462;69.596;198.628;254;254;238.379;64.897;0;0;0;11.938;243.459;254;125.349;0;83.693;220.091;254;254;254;254;254;228.854;26.035;0;0;28.067;249.936;254;43.815;84.582;249.047;254;242.697;190.246;72.39;113.157;254;241.427;14.732;0;0;39.243;254;235.204;69.469;242.062;254;210.947;61.976;0;5.334;196.977;254;148.971;0;0;0;8.001;252.603;251.968;233.934;254;225.679;30.353;0;21.717;162.56;254;199.136;10.414;0;0;0;0;132.334;254;254;254;138.557;10.795;82.55;215.646;254;215.773;18.923;0;0;0;0;0;10.033;172.466;254;254;254;254;254;254;230.251;35.179;0;0;0;0;0;0;0;0;150.114;254;254;254;213.233;124.841;11.811;0;0;0;0;0
9;0;0;0;0;0;12.192;119.38;208.026;213.106;158.75;29.083;0;0;0;0;0;0;0;0;0;2.794;185.674;253.746;204.851;130.429;183.642;237.998;81.788;0;0;0;0;0;0;0;0;116.205;254;122.174;0.381;0;0;46.355;226.06;19.939;0;0;0;0;0;0;25.146;234.315;198.374;1.016;0;0;0;6.35;245.491;76.2;0;0;0;0;0;0;145.542;244.729;47.498;0;0;0;0;2.413;234.061;57.277;0;0;0;0;0;1.397;230.886;163.957;0;0;0;0;0;14.859;204.216;227.711;1.524;0;0;0;0;0.127;226.949;157.353;0;0;0;7.747;95.885;222.758;251.206;124.46;0;0;0;0;0;0;141.605;234.696;113.665;109.855;140.208;229.362;254;254;170.18;0;0;0;0;0;0;0;3.937;142.875;219.71;229.108;223.774;157.226;238.506;245.364;22.225;0;0;0;0;0;0;0;0;0;0;5.207;3.81;112.776;254;115.57;0;0;0;0;0;0;0;0;0;0;0;0;7.239;211.709;225.552;14.224;0;0;0;0;0;0;0;0;0;0;0;0;108.077;254;108.458;0;0;0;0;0;0;0;0;0;0;0;0;12.573;222.25;202.692;7.62;0;0;0;0;0;0;0;0;0;0;0;0;49.784;254;102.87;0;0;0;0;0;0;0;0;0;0;0;0;0;89.027;254;45.847;0;0;0;0;0;0;0;0;0;0;0;0;0;54.991;208.534;9.525;0;0;0;0;0;0;0
